entity_id	total_population	male	female
LG-44003	43385.0	21466.0	21919.0
LG-44004	32037.0	16092.0	15945.0
LG-45001	8530.0	4250.0	4280.0
LG-45002	84678.0	41446.0	43232.0
LG-45003	20302.0	10087.0	10215.0
LG-51001	23284.0	11434.0	11850.0
LG-51002	27392.0	13576.0	13816.0
LG-51003	68249.0	32713.0	35536.0
LG-51004	75478.0	35948.0	39530.0
LG-51005	24643.0	11621.0	13022.0
LG-51006	86227.0	40750.0	45477.0
LG-51007	28489.0	13887.0	14602.0
LG-51008	40356.0	18635.0	21721.0
LG-51009	30694.0	14214.0	16480.0
LG-51010	24726.0	12105.0	12621.0
LG-51011	36222.0	16369.0	19853.0
LG-51012	60807.0	29424.0	31383.0
LG-52001	60178.0	29897.0	30281.0
LG-52002	18290.0	9140.0	9150.0
LG-52003	20828.0	10541.0	10287.0
LG-52004	58325.0	28825.0	29500.0
LG-52005	23076.0	11354.0	11722.0
LG-52006	24133.0	11727.0	12406.0
LG-52007	18727.0	8683.0	10044.0
LG-52008	60465.0	28670.0	31795.0
LG-52009	99893.0	47656.0	52237.0
LG-52010	16839.0	8019.0	8820.0
LG-52011	26361.0	12205.0	14156.0
LG-52012	41968.0	20015.0	21953.0
LG-52013	14383.0	7132.0	7251.0
LG-52014	6731.0	3211.0	3520.0
LG-52015	32435.0	15826.0	16609.0
LG-52016	22458.0	10709.0	11749.0
LG-52017	35312.0	17390.0	17922.0
LG-52018	25277.0	12123.0	13154.0
LG-52019	34809.0	16863.0	17946.0
LG-52020	8914.0	4366.0	4548.0
LG-53001	11882.0	5850.0	6032.0
LG-53002	33218.0	16898.0	16320.0
LG-53003	7382.0	3785.0	3597.0
LG-53004	7968.0	4118.0	3850.0
LG-53005	45456.0	22223.0	23233.0
LG-53006	52031.0	24922.0	27109.0
LG-53007	28527.0	14003.0	14524.0
LG-53008	46802.0	23127.0	23675.0
LG-53009	27841.0	14057.0	13784.0
LG-53010	36772.0	18411.0	18361.0
LG-53011	56621.0	27762.0	28859.0
LG-53012	13632.0	6742.0	6890.0
LG-53013	11409.0	5574.0	5835.0
LG-61001	31412.0	15180.0	16232.0
LG-61002	80859.0	39392.0	41467.0
LG-61003	80363.0	38719.0	41644.0
LG-61004	83608.0	40273.0	43335.0
LG-61005	76139.0	37001.0	39138.0
LG-61006	125446.0	59917.0	65529.0
LG-61007	97642.0	47073.0	50569.0
LG-61008	35975.0	17473.0	18502.0
LG-61009	62349.0	29799.0	32550.0
LG-61010	96128.0	46361.0	49767.0
LG-61011	142818.0	68174.0	74644.0
LG-61012	24833.0	12050.0	12783.0
LG-61013	64904.0	30964.0	33940.0
LG-61014	88714.0	42248.0	46466.0
LG-61015	99495.0	47386.0	52109.0
LG-61016	125825.0	60051.0	65774.0
LG-61017	5553.0	2695.0	2858.0
LG-61018	52231.0	25055.0	27176.0
