entity_id	total_population	male	female
EC-21E	134039.0	65806.0	68233.0
EC-21F	138256.0	68546.0	69710.0
EC-21G	90822.0	45424.0	45398.0
EC-21H	180667.0	89061.0	91606.0
EC-22	840648.0	400820.0	439828.0
EC-22A	113056.0	54179.0	58877.0
EC-22B	84968.0	40513.0	44455.0
EC-22C	88998.0	42269.0	46729.0
EC-22D	82769.0	38929.0	43840.0
EC-22E	119029.0	56061.0	62968.0
EC-22F	63018.0	29625.0	33393.0
EC-22G	97713.0	47007.0	50706.0
EC-22H	99127.0	47759.0	51368.0
EC-22I	91970.0	44478.0	47492.0
LG-11001	561314.0	281458.0	279856.0
LG-11002	60044.0	29713.0	30331.0
LG-11003	131643.0	64412.0	67231.0
LG-11004	252041.0	123572.0	128469.0
LG-11005	252469.0	123910.0	128559.0
LG-11006	134202.0	65411.0	68791.0
LG-11007	30308.0	14655.0	15653.0
LG-11008	196423.0	94117.0	102306.0
LG-11009	107925.0	51992.0	55933.0
LG-11010	184468.0	89987.0	94481.0
LG-11011	168280.0	82323.0	85957.0
LG-11012	60110.0	29050.0	31060.0
LG-11013	185122.0	89872.0	95250.0
LG-12001	142136.0	68600.0	73536.0
LG-12002	171831.0	82087.0	89744.0
LG-12003	63460.0	30716.0	32744.0
LG-12004	144506.0	70089.0	74417.0
LG-12005	164580.0	79185.0	85395.0
LG-12006	170814.0	82263.0	88551.0
LG-12007	7517.0	3696.0	3821.0
LG-12008	147494.0	70735.0	76759.0
LG-12009	28031.0	13691.0	14340.0
LG-12010	170289.0	82714.0	87575.0
LG-12011	31232.0	14860.0	16372.0
LG-12012	135332.0	65878.0	69454.0
LG-12013	62335.0	29692.0	32643.0
LG-12014	179565.0	86489.0	93076.0
LG-12015	154005.0	75233.0	78772.0
LG-12016	207782.0	101389.0	106393.0
LG-12017	109603.0	53238.0	56365.0
LG-12018	27736.0	14223.0	13513.0
LG-12019	186585.0	92115.0	94470.0
LG-13001	152127.0	72849.0	79278.0
